0,0,0,0,0,15.238020,-125.461313
1,23,0,36,0,-14.879107,110.353379
2,118,0,485,0,-0.360749,15.192826
3,1,1,1,1,15.238020,-125.461308
4,25,1,38,1,-14.879107,110.353379
5,2,2,5,5,465.099148,-4830.947880
6,3,2,6,5,-449.438202,4719.101124
7,8,2,13,5,-1.335279,10.046431
8,15,2,25,5,-9.983963,58.129625
9,19,2,32,5,-3.995436,29.296952
10,87,2,346,5,-0.335141,14.017010
11,2,3,5,6,-449.438202,4719.101124
12,3,3,6,6,459.891749,-4788.639224
13,23,3,36,6,-3.503121,19.153428
14,33,3,46,6,-6.604158,35.961913
15,88,3,347,6,-0.335206,14.019724
16,4,4,7,7,453.115091,-4770.612841
17,9,4,14,7,-3.186937,23.684999
18,5,5,10,10,2712.807533,-16356.828045
19,6,5,11,10,-2702.702703,16216.216216
20,14,5,19,10,-6.887134,78.826382
21,5,6,10,11,-2702.702703,16216.216216
22,6,6,11,11,2712.186686,-16335.438673
23,7,6,12,11,-0.443043,25.336906
24,20,6,33,11,-2.492300,28.811987
25,37,6,59,11,-6.548686,65.748803
26,6,7,11,12,-0.443043,25.336906
27,7,7,12,12,-3.593080,-168.417805
28,2,8,5,13,-1.335279,10.046431
29,8,8,13,13,476.335688,-4922.847505
30,9,8,14,13,-449.438202,4719.101124
31,11,8,16,13,-0.094612,12.663596
32,29,8,42,13,-3.482579,25.519014
33,32,8,45,13,-21.985025,155.624338
34,4,9,7,14,-3.186937,23.684999
35,8,9,13,14,-449.438202,4719.101124
36,9,9,14,14,909.733285,-9514.598492
37,10,9,15,14,-449.438202,4719.101124
38,12,9,17,14,-0.090089,12.054534
39,17,9,30,14,-7.579863,40.711753
40,9,10,14,15,-449.438202,4719.101124
41,10,10,15,15,453.656493,-4757.464211
42,8,11,13,16,-0.094612,12.663596
43,11,11,16,16,3.189867,-92.702659
44,111,11,438,16,-3.046871,68.656169
45,112,11,441,16,0.191968,6.604590
46,9,12,14,17,-0.090089,12.054534
47,12,12,17,17,2.659066,-82.190175
48,13,13,18,18,2702.972638,-16233.728258
49,14,13,19,18,-2702.702703,16216.216216
50,5,14,10,19,-6.887134,78.826382
51,13,14,18,19,-2702.702703,16216.216216
52,14,14,19,19,2711.789739,-16319.593058
53,27,14,40,19,-2.199902,25.266709
54,2,15,5,25,-9.983963,58.129625
55,15,15,25,25,463.301265,-4815.984152
56,16,15,26,25,-449.438202,4719.101124
57,25,15,38,25,-3.532832,24.319169
58,116,15,483,25,-0.330439,13.820378
59,15,16,25,26,-449.438202,4719.101124
60,16,16,26,26,457.823037,-4777.858940
61,23,16,36,26,-3.532832,24.319169
62,67,16,153,26,-4.505735,20.039553
63,117,16,484,26,-0.336967,14.093397
64,9,17,14,30,-7.579863,40.711753
65,17,17,30,30,457.364333,-4774.272866
