0,0,0,60.061000,-90.519000,1.060630,0.007808,0.000024,0.000109,1.000000,0.000000,0.000000,1.060572,0.007807
1,3,0,106.222000,-131.083000,1.052840,-0.154452,0.000223,0.000533,1.000000,0.000000,0.000000,1.052782,-0.154375
2,4,0,61.902000,-92.347000,1.064840,-0.194435,0.175763,10.901500,1.000000,0.000000,0.000000,1.064790,-0.194329
3,6,0,-35.182000,-72.569000,1.026700,0.092060,0.000043,0.000080,1.000000,0.000000,0.000000,1.026646,0.092033
4,7,0,-19.804000,-35.102000,1.022520,0.061816,0.000056,0.000151,1.000000,0.000000,0.000000,1.022469,0.061800
5,8,0,36.212000,-113.973000,1.052030,-0.153271,0.001380,0.001217,1.000000,0.000000,0.000000,1.051979,-0.153192
6,9,0,102.959000,-72.733000,1.051050,-0.150234,0.001539,0.001426,1.000000,0.000000,0.000000,1.050993,-0.150156
7,10,0,115.538000,-43.540000,1.075240,-0.196063,-69.442300,-34.738400,1.000000,0.000000,0.000000,1.075182,-0.195960
8,11,0,161.770000,-72.744000,1.039300,-0.075391,0.001817,0.002072,1.000000,0.000000,0.000000,1.039245,-0.075361
9,14,0,62.722000,-52.875000,1.045640,-0.105941,0.000011,0.000054,1.000000,0.000000,0.000000,1.045586,-0.105880
10,16,0,66.655000,-93.227000,1.041420,-0.092721,0.000281,0.000647,1.000000,0.000000,0.000000,1.041368,-0.092676
11,17,0,19.302000,-68.641000,1.039030,-0.140000,-9.040440,-0.286906,1.000000,0.000000,0.000000,1.038979,-0.139934
12,24,0,-25.536000,-50.156000,1.044130,-0.088792,-0.000000,0.000003,1.000000,0.000000,0.000000,1.044081,-0.088739
13,25,0,8.091000,-71.468000,1.041920,-0.084730,-0.000002,0.000110,1.000000,0.000000,0.000000,1.041869,-0.084678
14,31,0,49.187000,0.813000,1.023370,-0.010125,-0.000002,0.014956,1.000000,0.000000,0.000000,1.023317,-0.010119
15,32,0,103.754000,-11.691000,1.020690,-0.006541,-0.000002,-0.000033,1.000000,0.000000,0.000000,1.020642,-0.006535
16,35,0,86.793000,21.063000,1.020410,-0.015445,-2.148750,-0.856394,1.000000,0.000000,0.000000,1.020360,-0.015437
17,36,0,54.495000,-30.635000,1.016090,-0.015771,-2.065830,-0.729241,1.000000,0.000000,0.000000,1.016037,-0.015762
18,38,0,114.619000,-37.385000,1.024820,0.063591,0.000010,0.000023,1.000000,0.000000,0.000000,1.024769,0.063575
19,39,0,169.327000,-10.670000,1.002210,0.175985,0.000039,0.000041,1.000000,0.000000,0.000000,1.002162,0.175942
20,40,0,153.232000,-33.596000,1.001880,0.164061,-0.000013,0.000009,1.000000,0.000000,0.000000,1.001829,0.164020
